name,short_description,category,author_name,rating,downloads
TaskMaster Pro,Advanced task management,Productivity,ProductivityTech,4.8,15000
FitTracker Plus,Comprehensive fitness tracking,Health,FitnessTech,4.7,25000
BudgetWise,Smart financial management,Finance,FinanceTech,4.6,18000
LearnFast,Accelerated learning platform,Education,EduTech,4.9,30000
PhotoEdit Master,Professional photo editing,Photography,PhotoTech,4.5,22000
MusicMix Studio,Digital music creation,Music,AudioTech,4.4,12000
TravelGuide Pro,Complete travel companion,Travel,TravelTech,4.7,28000
RecipeBook Plus,Digital recipe collection,Food,CookingTech,4.6,20000
HomeDesign 3D,3D home design tool,Design,DesignTech,4.5,16000
PetCare Assistant,Complete pet care management,Lifestyle,PetTech,4.8,14000
