name,description,price,quantity,category
Smartphone Pro Max,Latest flagship smartphone,999.99,50,Electronics
Wireless Earbuds,Premium wireless earbuds,199.99,100,Electronics
Designer T-Shirt,Premium cotton t-shirt,49.99,75,Fashion
Running Shoes,Professional running shoes,129.99,60,Sports
Organic Plant Food,Natural plant nutrients,24.99,200,Gardening
Programming Book,Learn Python programming,39.99,30,Books
Face Moisturizer,Anti-aging face cream,34.99,80,Beauty
Protein Shake,Vanilla protein powder,59.99,40,Health
Car Phone Holder,Universal car mount,19.99,150,Automotive
LED Desk Lamp,Adjustable LED lamp,79.99,25,Home
