name,description,email,phone,address,business_type
Tech Solutions Pro,Advanced technology solutions,contact@techsolutions.com,+1-555-0101,123 Tech Street Silicon Valley,technology
Fashion Forward Store,Latest fashion trends,info@fashionforward.com,+1-555-0102,456 Fashion Ave New York,retail
Green Garden Center,Plants and gardening supplies,hello@greengarden.com,+1-555-0103,789 Garden Blvd Portland,gardening
Sports Excellence,Premium sports equipment,sales@sportsexcellence.com,+1-555-0104,321 Sports Way Denver,sports
BookWorm Paradise,Books for every reader,books@bookworm.com,+1-555-0105,654 Library St Boston,bookstore
Beauty Bliss Salon,Complete beauty services,appointments@beautybliss.com,+1-555-0106,987 Beauty Lane Miami,beauty
Food Fusion Restaurant,International cuisine,orders@foodfusion.com,+1-555-0107,147 Cuisine Ave Chicago,restaurant
Auto Care Plus,Complete automotive services,service@autocare.com,+1-555-0108,258 Auto Street Detroit,automotive
Home Decor Emporium,Beautiful home decorations,design@homedecor.com,+1-555-0109,369 Decor Drive Atlanta,home_decor
Electronics Galaxy,Latest electronic gadgets,support@electronicsgalaxy.com,+1-555-0110,741 Electronics Plaza Seattle,electronics
